name,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23
Georgia,87.79166666666667,72.125,64.5,64.33333333333333,78.83333333333333,84.91666666666667,77.66666666666667,53.583333333333336,57.583333333333336,58.291666666666664,54.583333333333336,64.29166666666667,88.58333333333333,90.45833333333333,91.375,67.58333333333333,47.5,60.583333333333336,61.916666666666664,73.54166666666667,85.08333333333333,85.83333333333333,72.125,64.5,73.125,82.79166666666667,84.20833333333333,82.04166666666667,77.5,69.54166666666667,76.625,75.45833333333333,90.5
Idaho,51.791666666666664,46.083333333333336,50.083333333333336,54.25,52.083333333333336,54.083333333333336,45.166666666666664,52.083333333333336,51.208333333333336,44.333333333333336,46.958333333333336,47.041666666666664,53.125,52.041666666666664,37.5,36.291666666666664,40.375,71.58333333333333,65.20833333333333,63.083333333333336,47.666666666666664,43.083333333333336,39.5,48.291666666666664,76.83333333333333,78.29166666666667,65.375,73.375,70.0,55.0,56.083333333333336,45.875,38.375
Illinois,60.5,62.083333333333336,50.333333333333336,54.583333333333336,82.66666666666667,90.375,81.33333333333333,63.666666666666664,69.20833333333333,62.958333333333336,60.333333333333336,68.54166666666667,64.75,50.208333333333336,52.875,49.666666666666664,54.458333333333336,39.541666666666664,59.958333333333336,87.16666666666667,84.875,90.04166666666667,59.791666666666664,69.83333333333333,77.25,77.25,72.04166666666667,81.58333333333333,97.16666666666667,84.95833333333333,67.41666666666667,84.08333333333333,94.04166666666667
Indiana,59.25,59.75,49.291666666666664,50.541666666666664,82.79166666666667,96.33333333333333,92.83333333333333,69.79166666666667,76.20833333333333,66.29166666666667,56.791666666666664,84.29166666666667,81.20833333333333,56.875,55.958333333333336,69.95833333333333,67.16666666666667,43.708333333333336,43.666666666666664,87.75,89.91666666666667,88.79166666666667,70.91666666666667,67.5,78.20833333333333,68.58333333333333,75.33333333333333,82.83333333333333,97.33333333333333,84.375,67.79166666666667,72.25,86.25
Iowa,62.5,58.791666666666664,56.875,64.45833333333333,76.20833333333333,74.125,70.70833333333333,65.25,74.33333333333333,78.29166666666667,56.791666666666664,75.29166666666667,64.625,67.625,53.791666666666664,60.708333333333336,36.375,35.875,80.04166666666667,80.5,76.65217391304348,72.25,55.75,72.375,76.625,78.33333333333333,67.83333333333333,86.0,98.22222222222223,82.08333333333333,60.208333333333336,77.83333333333333,93.47619047619048
Kansas,60.333333333333336,61.208333333333336,46.666666666666664,61.375,81.0,67.375,56.791666666666664,62.75,73.29166666666667,62.958333333333336,48.416666666666664,57.291666666666664,61.416666666666664,52.958333333333336,48.333333333333336,47.083333333333336,40.416666666666664,35.083333333333336,81.75,81.95833333333333,78.58333333333333,73.08333333333333,57.375,76.33333333333333,78.875,83.375,81.54166666666667,85.95833333333333,83.83333333333333,61.958333333333336,60.666666666666664,79.29166666666667,87.91666666666667
Kentucky,52.708333333333336,54.125,51.958333333333336,47.416666666666664,70.875,88.79166666666667,87.16666666666667,61.916666666666664,55.375,60.5,51.208333333333336,66.375,76.95833333333333,52.625,48.791666666666664,52.25,56.541666666666664,54.0,41.291666666666664,70.5,79.29166666666667,79.0,65.75,59.375,78.875,71.5,79.125,84.45833333333333,86.66666666666667,68.79166666666667,70.54166666666667,67.45833333333333,77.08333333333333
Louisiana,95.82608695652173,70.91666666666667,63.34782608695652,77.78260869565217,84.25,94.95454545454545,73.79166666666667,55.47826086956522,66.30434782608695,58.583333333333336,64.16666666666667,80.625,86.95833333333333,96.08333333333333,85.36363636363636,52.0,49.34782608695652,64.4090909090909,80.58333333333333,91.79166666666667,84.04166666666667,81.875,84.125,82.95833333333333,81.41666666666667,83.875,91.91666666666667,91.29166666666667,85.83333333333333,84.41666666666667,90.95833333333333,86.70833333333333,80.08333333333333
Maine,44.541666666666664,46.125,48.666666666666664,56.125,70.375,69.375,67.125,80.70833333333333,50.291666666666664,55.125,55.708333333333336,68.125,85.04166666666667,73.375,44.291666666666664,56.75,40.125,30.375,48.333333333333336,63.291666666666664,62.708333333333336,48.875,84.0,46.333333333333336,44.083333333333336,41.708333333333336,76.83333333333333,61.5,85.41666666666667,98.375,48.75,33.833333333333336,56.583333333333336
Maryland,43.416666666666664,47.208333333333336,35.833333333333336,68.66666666666667,75.625,89.41666666666667,95.25,62.095238095238095,45.541666666666664,46.333333333333336,42.958333333333336,61.5,77.625,48.208333333333336,54.0,75.95833333333333,61.26086956521739,56.208333333333336,62.958333333333336,53.833333333333336,63.583333333333336,73.375,74.625,36.666666666666664,67.08333333333333,67.16666666666667,76.54166666666667,57.666666666666664,85.16666666666667,74.95833333333333,55.208333333333336,50.791666666666664,82.625
